Fit Type,Distance (cm),Mean Arrival Time (ps),Std (ps),Goodness of Fit
Polynomial2,0,4717.01134056692,10.547980539776,0.848729951314754
Polynomial2,5.08,4892.43466658151,7.01181110195072,0.918583459480756
Polynomial2,10.16,5067.39625581803,5.91562041991058,0.879356001631327
Polynomial2,20.32,5402.81795372736,9.83186215294514,0.880664945627349
Polynomial2,40.64,6084.85256114828,8.8449553970725,0.878053628264222
Polynomial2,60.96,6761.61771144469,10.3033501016058,0.868998102856541
Polynomial2,81.28,7448.58956904089,10.0570351968529,0.859727111752141
Polynomial2,101.6,8118.87815189306,9.93623703492639,0.897002640973477
Polynomial2,132.08,8798.11043320987,6.88805806420802,0.852754431257523
Polynomial3,0,4725.25033131986,13.3660762112539,0.847595842177262
Polynomial3,5.08,4889.80387219629,12.1566905863103,0.917960324110033
Polynomial3,10.16,5078.65317437712,17.2929391049112,0.877665484463746
Polynomial3,20.32,5400.70320256398,19.1348630878175,0.880119552535886
Polynomial3,40.64,6082.31241484221,26.6484323456902,0.876119865872194
Polynomial3,60.96,6774.51694390757,27.407787200736,0.866195647438439
Polynomial3,81.28,7459.53250547084,14.2994348108835,0.858245232529124
Polynomial3,101.6,8127.7109853688,16.2813473027656,0.895787086723931
Polynomial3,132.08,8805.22711745924,11.6218071369067,0.851543291462548
Polynomial4,0,4721.8949883301,16.0905370300562,0.845596557575862
Polynomial4,5.08,4880.79873496691,34.6732505026401,0.91436413358371
Polynomial4,10.16,5073.37991708159,10.1780474250377,0.870851553395884
Polynomial4,20.32,5400.56532835966,13.2124763648529,0.8736492736799
Polynomial4,40.64,6079.60174886278,19.3035043402975,0.87157633955218
Polynomial4,60.96,6767.47083883425,18.5949983258141,0.85574328910405
Polynomial4,81.28,7455.04055533398,9.55115934377679,0.856387737073694
Polynomial4,101.6,8120.83809208998,10.8457800471364,0.88897183143747
Polynomial4,132.08,8806.29382946107,4.0089560357671,0.847519666608257
Polynomial5,0,4721.15023081616,26.5783077232486,0.844860729323666
Polynomial5,5.08,4890.88720094587,44.1897143102367,0.913017877558487
Polynomial5,10.16,5067.17166171134,12.0409662439002,0.870358422276365
Polynomial5,20.32,5393.27550431904,18.1299415243184,0.872605704553057
Polynomial5,40.64,6076.95078556996,26.1639169405638,0.870365593111759
Polynomial5,60.96,6770.6853674874,17.8443165211965,0.853586177265443
Polynomial5,81.28,7458.80355666829,30.1130302582981,0.85331016711921
Polynomial5,101.6,8121.58932589535,14.2718671465793,0.887749701460423
Polynomial5,132.08,8817.47338053863,23.6910457933752,0.844692647112628
Polynomial6,0,4732.54309149261,40.5840753156312,0.842563485071735
Polynomial6,5.08,4892.37561192406,68.0333272327943,0.910104907793988
Polynomial6,10.16,5066.42654018102,11.9763120578101,0.86919354266187
Polynomial6,20.32,5390.64071775417,18.413264247168,0.871697928208186
Polynomial6,40.64,6087.11544297751,35.4871407130222,0.866189641383047
Polynomial6,60.96,6774.05289902565,25.4442016241858,0.852068452140624
Polynomial6,81.28,7459.52751324619,34.8136967969395,0.852787575543389
Polynomial6,101.6,8120.84306831391,13.2527674163619,0.886626896401461
Polynomial6,132.08,8814.92574589558,18.3855963635284,0.843951865186418
Polynomial7,0,4733.63076443767,48.4082872252798,0.840635970524558
Polynomial7,5.08,4891.26268184243,61.0572579404319,0.906012962266738
Polynomial7,10.16,5066.87315227848,24.6493973030445,0.86813625924497
Polynomial7,20.32,5387.76266424234,26.2899099172924,0.870823578038396
Polynomial7,40.64,6091.66460768901,29.9017074385321,0.864260676918821
Polynomial7,60.96,6765.37381646867,32.465206891616,0.850407711752353
Polynomial7,81.28,7460.77560541009,38.7667657354933,0.850523307390018
Polynomial7,101.6,8132.16422176355,18.9115841417874,0.883927670044351
Polynomial7,132.08,8799.92653893427,11.7114717079251,0.840583241118262
Polynomial8,0,4633.754950046,174.40321530887,0.836140574819469
Polynomial8,5.08,4903.51433316429,62.1644118458153,0.90144327241544
Polynomial8,10.16,5066.5778469898,19.9756664565823,0.865558574602779
Polynomial8,20.32,5390.26267274222,38.4461161736675,0.868742503201963
Polynomial8,40.64,6082.13135869472,13.2480655998925,0.864258466341124
Polynomial8,60.96,6748.44917486318,22.4456069124993,0.852946127328887
Polynomial8,81.28,7472.71837083214,45.6432743664735,0.871405342564979
Polynomial8,101.6,8048.40997683928,166.871861450464,1.26757165616988
Polynomial8,132.08,8803.78208843322,28.3760503107217,0.865187731532065
Polynomial9,0,4719.63889080616,11.0089638773743,0.856056720424723
Polynomial9,5.08,4759.80963848177,133.48753943622,0.932879323339366
Polynomial9,10.16,5070.21401861679,7.77647232856434,0.872120473420117
Polynomial9,20.32,5401.51829924316,11.8101618706938,0.8758129268349
Polynomial9,40.64,6083.37260255044,12.9521662010392,0.874054990956079
Polynomial9,60.96,6765.84864183571,14.3118615123708,0.857983880253511
Polynomial9,81.28,7451.25423295023,7.42396667922063,0.862461127295573
Polynomial9,101.6,8121.18395165359,8.39388325392929,0.889666154955321
Polynomial9,132.08,8802.15876338392,4.56188989194148,0.852656977769057
Fourier1,0,4741.06093479385,49.3864430017007,0.843625238454936
Fourier1,5.08,4898.37008967436,170.145280141406,0.920183997817285
Fourier1,10.16,5068.12745672193,12.833478632568,0.870346450105949
Fourier1,20.32,5387.0403157368,27.712567097947,0.872008075380096
Fourier1,40.64,6079.74600735438,28.7502929063714,0.870084226456195
Fourier1,60.96,6774.2363432806,25.4347007554467,0.855348425105169
Fourier1,81.28,7463.2260276786,40.513704061568,0.854387149598722
